Categoria;Producto;Precio;URL de la imagen;Fecha y hora;Página
Electro/Cocinas-y-Hornos;Horno Samsung Eléctrico Nv7b5645tak Bpk;1858499.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/822647-500-auto?v=638508240991200000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Cocina Drean 55cm Gris Cd5502ai;953599.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812918-500-auto?v=638440522462630000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Cocina Drean 55cm Blanca Cd5502ab;897799.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/804376-500-auto?v=638385430282430000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Horno  Anafe  Pci25cxch64ccb Candy;1279999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/789315-500-auto?v=638264145893900000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Combo Candy;1299999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/556506-500-auto?v=637106819578170000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1

Electro/Aire-Acondicionado-y-Ventilacion;Aire Acondicionado Bgh Bs52wccr;1199999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/816239-500-auto?v=638470644498770000&width=500&height=auto&aspect=true;29/05/2024, 01:04:18;1
Electro/Aire-Acondicionado-y-Ventilacion;Aire Acondicionado Bgh 5590 Frig - 6500 Watts - Frio/calor - Inverter - Bsi65wcgt;1799999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812594-500-auto?v=638440521144630000&width=500&height=auto&aspect=true;29/05/2024, 01:04:18;1
Electro/Aire-Acondicionado-y-Ventilacion;Aire Acondicionado Split Frío/Calor BGH 5500Fg y 6500W BS65WCCR;1499999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812994-500-auto?v=638440522732900000&width=500&height=auto&aspect=true;29/05/2024, 01:04:18;1
Electro/Aire-Acondicionado-y-Ventilacion;Aire Acond Philco Black Split 2560w Frio Calor;749999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/822903-500-auto?v=638508245655370000&width=500&height=auto&aspect=true;29/05/2024, 01:04:18;1
Electro/Aire-Acondicionado-y-Ventilacion;Aire Acondicionado Philco Black Portatil 3400 W Frio Calor;749999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/822905-500-auto?v=638508245661170000&width=500&height=auto&aspect=true;29/05/2024, 01:04:18;1
Electro/Aire-Acondicionado-y-Ventilacion;"Ventilador Mesa Indelplas 16"" Iv16";44819.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/804600-500-auto?v=638387157929230000&width=500&height=auto&aspect=true;29/05/2024, 01:04:18;1
Electro/Aire-Acondicionado-y-Ventilacion;"Ventilador De Pie Axel 16"" Mod. Axpie16";56999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/813189-500-auto?v=638440617787670000&width=500&height=auto&aspect=true;29/05/2024, 01:04:18;1
Electro/Aire-Acondicionado-y-Ventilacion;"Ventilador De Pie Indelplas 20"" Ivp20";88199.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/804622-500-auto?v=638387158008230000&width=500&height=auto&aspect=true;29/05/2024, 01:04:18;1
Electro/Aire-Acondicionado-y-Ventilacion;"Turbo Ventilador Indelplas 20"" Ivi20";81195.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/724708-500-auto?v=637997310617930000&width=500&height=auto&aspect=true;29/05/2024, 01:04:18;1

Electro/Consolas-y-Videojuegos;Silla Gamer Panacom Rojo;208999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/800491-500-auto?v=638355730945530000&width=500&height=auto&aspect=true;29/05/2024, 01:04:21;1
Electro/Consolas-y-Videojuegos;Juego Ps5 Uncharted Legacy Of Thieves Collecti;106999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/777623-500-auto?v=638175262501330000&width=500&height=auto&aspect=true;29/05/2024, 01:04:21;1
Electro/Consolas-y-Videojuegos;Juego Ps5 Spider-man Miles Morales;106999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/614994-500-auto?v=637413528374070000&width=500&height=auto&aspect=true;29/05/2024, 01:04:21;1
Electro/Consolas-y-Videojuegos;Juego Ps5 Ratchet & Clank Rift Apart;150999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/647234-500-auto?v=637593905454930000&width=500&height=auto&aspect=true;29/05/2024, 01:04:21;1

Electro/calefaccion-calefones-y-termotanques;Termotanque Señorial Gas Zafiro 120 L;364959.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/448205-500-auto?v=636562507029930000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Calefactor Volcan Tiro Balanceado 46316v - 5700kcal;326893.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/583618-500-auto?v=637238994546370000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Vitroconvector Peabody Vidrio Plano Blanco 2000 W;149999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812382-500-auto?v=638440520393670000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Termotanque Multigas Señorial 85 L;304650.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/448204-500-auto?v=636562507026130000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Termotanque Saiar Tpg080 80 L;469999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/448199-500-auto?v=636562507006300000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Calefactor Emegé Tiro Balanceado 2155 Tb 5400 Kcal;347961.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812457-500-auto?v=638440520647130000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Estufa Garrafera Daewoo Dany 113;179045.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812381-500-auto?v=638440520389300000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Calefactor A Leña Wichi 50  Cobre Potencia 850;499999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/813123-500-auto?v=638440523202470000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Convector Almohadita Con Forzador 750/1250/2000 W;96299.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/201651-500-auto?v=636383633310570000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Calefactor Infrarrojo Liliana Negro Cig100;62999.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/818472-500-auto?v=638484432085970000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Turbocalefactor Torre;152999.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/319833-500-auto?v=636391500341200000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/calefaccion-calefones-y-termotanques;Calefactor Volcan;175689.9;https://jumboargentinaio.vtexassets.com/arquivos/ids/820061-500-auto?v=638494797210470000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1

Electro/calefaccion-calefones-y-termotanques;Calefactor Volcan Tb 3800;268972.2;https://jumboargentinaio.vtexassets.com/arquivos/ids/820063-500-auto?v=638494798754930000&width=500&height=auto&aspect=true;29/05/2024, 01:04:34;2
Electro/calefaccion-calefones-y-termotanques;Caloventor Liliana Hot Wind;41399.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/820373-500-auto?v=638495860061100000&width=500&height=auto&aspect=true;29/05/2024, 01:04:34;2
Electro/calefaccion-calefones-y-termotanques;Estufa Infrarroja Nex Hn16 Negra 1600 W;59399.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/790341-500-auto?v=638272137758800000&width=500&height=auto&aspect=true;29/05/2024, 01:04:34;2
Electro/calefaccion-calefones-y-termotanques;Termotanque A Gas Natural Rheem De Pie Tgnp080rh 80 l;610766.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/812233-500-auto?v=638440519779130000&width=500&height=auto&aspect=true;29/05/2024, 01:04:34;2
Electro/calefaccion-calefones-y-termotanques;Calefactor A Leña Eco Puelo Potencia 8500 Kc/h;389699.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/818362-500-auto?v=638482959350400000&width=500&height=auto&aspect=true;29/05/2024, 01:04:34;2
Electro/calefaccion-calefones-y-termotanques;Convector Axel  Ax-co-ax-co-cja-un.-1;80999.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/812215-500-auto?v=638440519716600000&width=500&height=auto&aspect=true;29/05/2024, 01:04:34;2
Electro/calefaccion-calefones-y-termotanques;Calefactor Convector 1000w Vc10rn Peabody;98999.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/822930-500-auto?v=638508247551500000&width=500&height=auto&aspect=true;29/05/2024, 01:04:34;2
Electro/calefaccion-calefones-y-termotanques;Caloventor Axel Ax-ca, 2 Niveles De Potencia, 2000 Watts;35099.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/812304-500-auto?v=638440520053430000&width=500&height=auto&aspect=true;29/05/2024, 01:04:34;2
