Categoria;Fecha_hora;Producto;Precio;URL de la imagen
almacen;09/05/2024, 12:46:22;Papas Fritas Sabor Ketchup Lays x 77 g.;$ 680,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24661.jpg
almacen;09/05/2024, 12:46:22;Te en Saquitos Mandarina Naranja Pomelo La Virginia x 20 Un.;$4050.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000019000/19827.jpg
almacen;09/05/2024, 12:46:22;Dulce de Batata a la Vainilla Cajon1X5 Arcor x 1 Kg.;$ 2.470,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3458.jpg
almacen;09/05/2024, 12:46:22;Café Instantáneo Selección Granulado La Virginia x 100 g.;$ 1.852,50;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000019000/19614.jpg
almacen;09/05/2024, 12:46:22;Salsa Guisos y Arroces Knorr x 340 g.;$3.800,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25544.jpg
almacen;09/05/2024, 12:46:22;Fideos Coditos Lucchetti x 500 g.;$ 3.550,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/8.jpg
almacen;09/05/2024, 12:46:22;Oblea Rellena Bañada con Chocolate Blanco Bon o Bon x 30 g.;$ 2.485,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2589.jpg
almacen;09/05/2024, 12:46:22;Yerba Compuesta con Cedrón Verdeflor x 500 g.;$2.450,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000011000/11554.jpg
almacen;09/05/2024, 12:46:22;Papas Fritas Clásicas Lays x 230 g.;$ 1.550,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24657.jpg
almacen;09/05/2024, 12:46:22;Flan de Vainilla Exquisita x 40 g.;$1.050,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000015000/15455.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate c/ Palo Limón CBSé x 500 g.;$ 990,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000014000/14725.jpg
