Supermercado;Producto;NombreNormalizado;Precio;URL de la imagen
LaAnonima;Maní Frito con Piel Maní King x 500 g.;Maní;3988.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26921.jpg
LaAnonima;Cebolla Verdeo (Kg);Cebolla;2890.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2379.jpg
LaAnonima;Maní Honey Roasted Spicy Dec Alimentos x 220 g.;Maní;2850.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26960.jpg
LaAnonima;Almendras Peladas Villares x 150 g.;Almendras;5950.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2707.jpg
LaAnonima;Almendras Peladas El Peoncito x 100 g.;Almendras;3550.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1971.jpg
LaAnonima;Semillas de Girasol For Good x 125 g.;Semillas;1150.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000008000/8645.jpg
LaAnonima;Pasas de Uva Negras El Peoncito x 250 g.;Pasas;2100.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000006000/6642.jpg
LaAnonima;Ensalada Lechuga Repollo y Zanahoria Rie La Huerta x 200 g.;Ensalada;3290.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26872.jpg
LaAnonima;Semilla de Chía El Peoncito x 175 g.;Semilla;2400.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000006000/6651.jpg
LaAnonima;Zanahoria Rallada Rie La Huerta x 250 g.;Zanahoria;2490.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26927.jpg
LaAnonima;Cramberries El Peoncito x 150 g.;Cramberries;3850.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000011000/11323.jpg
LaAnonima;Vegetales para Wok Rie La Huerta x 370 g.;Vegetales;3490.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26952.jpg
LaAnonima;Mix de Frutas Secas El Peoncito x 100 g.;Mix;2250.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3172.jpg
LaAnonima;Mix de Frutos Secos Salados El Peoncito x 100 g.;Mix;2000.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000004000/4715.jpg
LaAnonima;Castañas de Caju Salada y Tostada Villares x 150 g.;Castañas;6200.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000007000/7619.jpg
LaAnonima;Maíz Frito y Salado El Peoncito x 100 g.;Maíz;2700.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26844.jpg
LaAnonima;Kale & Remolacha Sueño Verde x 200 g.;Kale;2990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26862.jpg
LaAnonima;Girasol Tostado sin Sal x 200 gr;Girasol;899.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3325.jpg
LaAnonima;Apio (Kg);Apio;2990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2374.jpg
LaAnonima;Mango (Kg);Mango;799900.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2397.jpg
LaAnonima;Coco (Kg);Coco;4390.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000007000/7136.jpg
LaAnonima;Blanco de Apio Rie La Huerta x 300 g.;Blanco;2890.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26891.jpg
LaAnonima;Pistachos Tostados y Salados El Peoncito x 100 g.;Pistachos;5000.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000008000/8462.jpg
LaAnonima;Ensalada Cítrica Sueño Verde x 200 g.;Ensalada;3990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26916.jpg
LaAnonima;Nueces Peladas El Peoncito Bolsa x 100 g.;Nueces;3400.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2088.jpg
LaAnonima;Pasas de Uva Sultanina Negras El Peoncito x 250 g.;Pasas;2300.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2090.jpg
LaAnonima;Pistacho c/Cascara Salado y Tostado El Peoncito x 200 g.;Pistacho;9850.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000011000/11320.jpg
LaAnonima;Semillas de Chía For Good x 150 g.;Semillas;2200.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000004000/4931.jpg
